120,硝,Salpeter,nitrate
121,砕,zerschmettern,smash
122,砂,Sand,sand
123,妬,eifersüchtig,jealous
124,削,hobeln,plane
125,光,Licht,ray
126,太,dick,plump
127,器,Geschirr,utensil
128,臭,übelriechend,stinking
129,嗅,schnüffeln,sniff
130,妙,bezaubernd,exquisite
131,省,sich besinnen auf,focus
132,厚,dicht,thick
133,奇,seltsam,strange
134,川,Fluß,stream
135,州,Staat,state
136,順,gehorchen,obey
137,水,Wasser,water
138,氷,Eiszapfen,icicle
139,永,Ewigkeit,eternity
140,泉,Springquell,spring
141,腺,Drüse,gland
142,原,Wiese,meadow
143,願,Gesuch,petition
144,泳,schwimmen,swim
145,沼,Morast,marsh
146,沖,offenes Meer,open sea
147,汎,pan-,pan-
148,江,Meeresarm,creek
149,汰,aussortieren,cleanse
150,汁,Suppe,soup
151,沙,Sandkörner,grains of sand
152,潮,Gezeiten,tide
153,源,Quelle,source
154,活,lebendig,lively
155,消,löschen,extinguish
156,況,Zustand,but of course
157,河,Strom,river
158,泊,übernachten,overnight
159,湖,See,lake
160,測,loten,fathom
161,土,Erde,soil
162,吐,spucken,spit
163,圧,Druck,pressure
164,埼,Kap,cape
165,垣,Hecke,hedge
166,填,einlegen,inlay
167,圭,eckiger Edelstein,squared jewel
168,封,Siegel,seal
169,涯,Horizont,horizon
170,寺,buddhistischer Tempel,Buddhist temple
171,時,Zeit,time
172,均,ebnen,level
173,火,Feuer,fire
174,炎,entzünden,inflammation
175,煩,Sorgen,anxiety
176,淡,blass,thin
177,灯,Lampe,lamp
178,畑,Acker,farm
179,災,Katastrophe,disaster
180,灰,Asche,ashes
181,点,Punkt,spot
182,照,scheinen,illuminate
183,魚,Fisch,fish
184,漁,Fischfang,fishing
185,里,ri,ri
186,黒,schwarz,black
187,墨,Tusche,black ink
188,鯉,Karpfen,carp
189,量,Menge,quantity
190,厘,Rin,rin
191,埋,begraben,bury
192,同,identisch,same
193,洞,Grotte,den
194,胴,Rumpf,trunk
195,向,gerichtet an,yonder
196,尚,Wertschätzung,esteem
197,字,Schriftzeichen,character
198,守,Wache,guard
199,完,vollendet,perfect
200,宣,verkünden,proclaim
201,宵,bis in die Puppen,wee hours
202,安,ruhig,relax
203,宴,Festmahl,banket
204,寄,sich nähern,draw near
205,富,Reichtum,wealth
206,貯,Ersparnisse,savings
207,木,Baum,tree
208,林,Hain,grove
209,森,Wald,forest
210,桂,Katsura,Japanese Judas-tree
211,柏,Eiche,oak
212,枠,Rahmen,frame
213,梢,Wipfel,treetops
214,棚,Regal,shelf
215,杏,Aprikose,apricot
216,桐,Paulownie,paulownia
217,植,pflanzen,plant
218,椅,Stuhl,chair
219,枯,verdorren,wither
220,朴,schlicht,crude
221,村,Dorf,town
222,相,einander,inter-
223,机,Schreibtisch,desk
224,本,Buch,book
225,札,Etikett,tag
226,暦,Kalender,calendar
227,案,Vorhaben,plan
228,燥,dörren,parch
229,未,noch nicht,not yet
230,末,schließlich,extremity
231,昧,unklar,obscure
232,沫,Gischt,splash
233,味,Geschmack,flavor
234,妹,jüngere Schwester,younger sister
235,朱,zinnoberrot,vermilion
236,株,Aktien,stocks
237,若,jung,young
238,草,Gras,grass
239,苦,leiden,suffering
240,苛,Schikane,bullying
241,寛,nachsichtig,tolerant
242,薄,verdünnen,dilute
243,葉,Laub,leaf
244,模,Imitation,imitation
245,漠,vage,vague
246,墓,Grab,grave
247,暮,Lebensunterhalt,livelihood
248,膜,Membrane,membrane
249,苗,Setzling,seedling
250,兆,Vorzeichen,portent
251,桃,Pfirsich,peach tree
252,眺,anstarren,stare
253,犬,Hund,dog
254,状,Umstände,status quo
255,黙,schweigen,silcence
256,然,-artig,sort of thing
257,荻,Schilf,reed
258,狩,jagen,hunt
259,猫,Katze,cat
260,牛,Kuh,cow
261,特,speziell,special
262,告,Ansage,revelation
263,先,voran,before
264,洗,waschen,wash
265,介,dazwischen,jammed in
266,界,Welt,world
267,茶,Tee,tea
268,脊,Wirbelsäule,spinal column
269,合,passen,fit
270,塔,Pagode,pagoda
271,王,König,king
272,玉,Edelstein,jewel
273,宝,Schatz,treasure
274,珠,Perle,pearl
275,現,gegenwärtig,present
276,玩,Spielzeug,toy
277,狂,verrückt,lunatic
278,旺,munter,effulgent
279,皇,Kaiser,emperor
280,呈,darbieten,display
281,全,gesamt,whole
282,栓,Stöpsel,plug
283,理,Logik,logic
284,主,Herr,lord
285,注,gießen,pour
286,柱,Pfeiler,pillar
287,金,Gold,gold
288,銑,Roheisen,pig iron
289,鉢,Schüssel,bowl
290,銅,Kupfer,copper
291,釣,angeln,angling
292,針,Nadel,needle
293,銘,Inschrift,inscription
294,鎮,beruhigen,tranquilize
295,道,Weg,road-way
296,導,leiten,guidance
297,辻,Kreuzung,crossing
298,迅,rasch,swift
299,造,erschaffen,create
300,迫,bedrängen,urge
301,逃,fliehen,escape
302,辺,Umgebung,environs
303,巡,Patrouille,patrol
304,車,Wagen,car
305,連,mitnehmen,take along
306,軌,Spurrille,rut
307,輸,Transport,transport
308,喩,Metapher,metaphor
309,前,vor,in front
310,煎,rösten,roast
311,各,jeder,each
312,格,Status,status
313,賂,Schmiergeld,graft
314,略,Abkürzung,abbreviation
315,客,Gast,guest
316,額,Stirn,forehead
317,夏,Sommer,summer
318,処,an seinem Platz,dispose
319,条,Klausel,twig
320,落,fallen,fall
321,冗,überflüssig,superfluous
322,冥,Unterwelt,Hades
323,軍,Armee,army
324,輝,leuchten,radiance
325,運,tragen,carry
326,冠,Krone,crown
327,夢,Traum,dream
328,坑,Grube,pit
329,高,hoch,tall
330,享,genießen,receive
331,塾,Nachhilfeschule,cram school
332,熟,reifen,mellow
333,亭,Pavillon,pavilion
334,京,Hauptstadt,capital
335,涼,erfrischen,refreshing
336,景,Landschaft,scenery
337,鯨,Wal,whale
338,舎,Hütte,cottage
339,周,Umfang,circumference
340,週,Woche,week
341,士,Samurai,gentleman
342,吉,Glück,good luck
343,壮,beste Mannesjahre,robust
344,荘,Villa,villa
345,売,verkaufen,sell
346,学,studieren,study
347,覚,sich merken,memorize
348,栄,brillieren,flourish
349,書,schreiben,write
350,津,Anlegeplatz,haven
351,牧,züchten,breed
352,攻,angreifen,aggression
353,敗,Niederlage,failure
354,枚,Blatt,a sheet of
355,故,Anlass,happenstance
356,敬,Ehrfurcht,awe
357,言,sagen,say
358,警,verwarnen,admonish
359,計,Plan,plot
360,詮,erörtern,elucidate
361,獄,Gefängnis,prison
362,訂,korrigieren,revise
363,訃,Todesanzeige,obituary
364,討,züchtigen,chastise
365,訓,Belehrung,instruction
366,詔,kaiserlicher Erlaß,imperial edict
367,詰,stopfen,packed
368,話,sprechen,tale
369,詠,rezitieren,recitation
370,詩,Gedicht,poem
371,語,Sprache,word
372,読,lesen,read
373,調,stimmen,tune
374,談,diskutieren,discuss
375,諾,Zustimmung,consent
376,諭,ermahnen,rebuke
377,式,Stil,style
378,試,probieren,test
379,弐,II (zwei),II (two)
380,域,Region,range
381,賊,plündern,burglar
382,栽,Plantage,plantation
383,載,beladen,load
384,茂,bewachsen,overgrown
385,戚,Verwandte,relatives
386,成,werden zu,turn into
387,城,Burg,castle
388,誠,aufrichtig,sincerity
389,威,einschüchtern,intimidate
390,滅,Vernichtung,destroy
391,減,verringern,dwindle
392,蔑,herabsetzen,revile
393,桟,Gerüst,scaffold
394,銭,Münze,coin
395,浅,seicht,shallow
396,止,stoppen,stop
397,歩,spazieren,walk
398,渉,Furt,ford
399,頻,häufig,repeatedly
400,肯,bejahen,agreement
401,企,unternehmen,undertake
402,歴,Zeitablauf,curriculum
403,武,Krieger,warrior
404,賦,auferlegen,levy
405,正,richtig,correct
406,証,Beweis,evidence
407,政,Politik,politics
408,定,bestimmt,determine
409,錠,Schloss,lock
410,走,laufen,run
411,超,übersteigen,transcend
412,赴,sich begeben nach,proceed
413,越,überschreiten,surpass
414,是,genau so,just so
415,題,Thema,topic
416,堤,Deich,dike
417,建,errichten,build
418,鍵,Schlüssel,key
419,延,verlängern,prolong
420,誕,Geburt,nativity
421,礎,Grundstein,cornerstone
422,婿,Bräutigam,bridegroom
423,衣,Gewand,garment
424,裁,schneidern,tailor
425,装,Aufmachung,attire
426,裏,Rückseite,back
427,壊,zerstören,demolition
428,哀,Erbarmen,pathetic
429,遠,fern,distant
430,猿,Affe,monkey
431,初,erstmals,first time
432,巾,Tuch,towel
433,布,Stoff,linen
434,帆,Segel,sail
435,幅,Rollbild,hanging scroll
436,帽,Mütze,cap
437,幕,Vorhang,curtain
438,幌,Plane,canopy
439,錦,Brokat,brocade
440,市,Markt,market
441,柿,Persimone,persimmon
442,姉,ältere Schwester,elder sister
443,肺,Lunge,lungs
444,帯,Gurt,sash
445,滞,stocken,stagnate
446,刺,Stachel,thorn
447,制,System,system
448,製,herstellen,made in...
449,転,rotieren,revolve
450,芸,Kunst,technique
451,雨,Regen,rain
452,雲,Wolke,cloud
453,曇,bewölkt,cloudy weather
454,雷,Donner,thunder
455,霜,Frost,frost
456,冬,Winter,winter
457,天,Himmel,heavens
458,妖,bestrickend,bewitched
459,沃,fruchtbar,irrigate
460,橋,Brücke,bridge
461,嬌,attraktiv,attractive
462,立,stehen,stand up
463,泣,weinen,cry
464,章,Abzeichen,badge
465,競,konkurrieren,vie
466,帝,Imperator,sovereign
467,諦,aufgeben,resignation
468,童,Knirps,juvenile
469,瞳,Pupille,pupil
470,鐘,Glocke,bell
471,商,Handel treiben,make a deal
472,嫡,rechtmäßige Ehefrau,legitimate wife
473,適,geeignet,suitable
474,滴,tropfen,drip
475,敵,Feind,enemy
476,匕,Löffel,spoon
477,叱,schimpfen,scold
478,匂,Aroma,aroma
479,頃,um die Zeit,about that time
480,北,Norden,north
481,背,Statur,stature
482,比,vergleichen,compare
483,昆,Nachkomme,descendants
484,皆,alle,all
485,楷,Blockschrift,block letters
486,諧,Einklang,orderliness
487,混,mischen,mix
488,渇,Durst,thirst
489,謁,Audienz,audience
490,褐,braun,brown
491,喝,anbrüllen,hoarse
492,葛,Kudsu,kudzu
493,旨,lecker,delicious
494,脂,Speck,fat
495,詣,einen Schrein besuchen,visit a shrine
496,壱,I. (eins),I (one)
497,毎,jedes Mal,every
498,敏,gewitzt,cleverness
499,梅,Pflaume,plum
500,海,Meer,sea
501,乞,betteln,beg
502,乾,Trockenheit,drought
503,腹,Bauch,abdomen
504,複,mehrfach,duplicate
505,欠,Mangel,lack
506,吹,blasen,blow
507,炊,kochen,cook
508,歌,Lied,song
509,軟,weich,soft
510,次,Nächster,next
511,茨,Dornbusch,briar
512,資,Kapital,assets
513,姿,Figur,figure
514,諮,zu Rate ziehen,consult with
515,賠,Entschädigung,compensation
516,培,kultivieren,cultivate
517,剖,sezieren,divide
518,音,Klang,sound
519,暗,Dunkelheit,darkness
520,韻,Reim,rhyme
521,識,Urteilsfähigkeit,discriminating
522,鏡,Spiegel,mirror
523,境,Grenze,boundary
524,亡,verstorben,deceased
525,盲,blind,blind
526,妄,Wahn,delusion
527,荒,verwüsten,laid waste
528,望,Verlangen,ambition
529,方,Richtung,direction
530,妨,hindern,disturb
531,坊,Junge,boy
532,芳,wohlriechend,perfumed
533,肪,verfetten,obese
534,訪,besuchen,call on
535,放,freilassen,set free
536,激,heftig,violent
537,脱,ausziehen,undress
538,説,Auslegung,explanation
539,鋭,spitz,pointed
540,曽,zuvor,formerly
541,増,zunehmen,increase
542,贈,Geschenk,presents
543,東,Osten,east
544,棟,Firstbalken,ridgepole
545,凍,gefroren,frozen
546,妊,Empfängnis,pregnancy
547,廷,Gerichtshof,courts
548,染,färben,dye
549,燃,brennen,burn
550,賓,Ehrengast,V.I.P.
551,歳,Jahresende,year-end
552,県,Präfektur,prefecture
553,栃,Rosskastanie,horse chestnut
554,地,Grund,ground
555,池,Teich,pond
556,虫,Insekt,insect
557,蛍,Glühwürmchen,lightning bug
558,蛇,Schlange,snake
559,虹,Regenbogen,rainbow
560,蝶,Schmetterling,butterfly
561,独,allein,single
562,蚕,Seidenraupe,silkworm
563,風,Wind,wind
564,己,sich,self
565,起,aufwachen,rouse
566,妃,Königin,queen
567,改,reformieren,reformation
568,記,notieren,scribe
569,包,einwickeln,wrap up
570,胞,Plazenta,placenta
571,砲,Kanone,cannon
572,泡,Schaum,bubble
573,亀,Schildkröte,tortoise
574,電,Elektrizität,electricity
575,竜,Drache,dragon
576,滝,Wasserfall,waterfall
577,豚,Schwein,pork
578,逐,vertreiben,pursue
579,遂,durchführen,consummation
580,家,Haus,house
581,嫁,einheiraten,marry into
582,豪,grandios,overpowering
583,腸,Gedärme,intestines
584,場,Ort,location
585,湯,Heißwasser,hot water
586,羊,Schaf,sheep
587,美,Schönheit,beauty
588,洋,Ozean,ocean
589,詳,detailliert,detailed
590,鮮,frisch,fresh
591,達,erlangen,accomplish
592,羨,neidisch,envious
593,差,Unterschied,distinction
594,着,anziehen,don
595,唯,bloß,solely
596,堆,aufgetürmt,piled high
597,椎,Scheinkastanie,sweet oak
598,誰,wer,who?
599,焦,versengen,char
600,礁,Riff,reef
601,集,sammeln,gather
602,准,quasi-,quasi-
603,進,Fortschritt,advance
604,雑,diverse,miscellaneous
605,雌,weiblich,female
606,準,semi-,semi-
607,奮,angeregt,stirred up
608,奪,rauben,rob
609,確,gewiss,assurance
610,午,Mittag,noon
611,許,erlauben,permit
612,歓,Freude,delight
613,権,Autorität,authority
614,観,Anschauung,outlook
615,羽,Feder,feathers
616,習,lernen,learn
617,翌,folgender,the following
618,曜,Wochentag,weekday
619,濯,spülen,laundry
620,曰,zu sagen pflegen,sayeth
621,困,in Verlegenheit,quandary
622,固,hart,harden
623,錮,verschweißen,weld
624,国,Land,country
625,団,Gruppe,group
626,因,Ursache,cause
627,姻,Ehe,matrimony
628,咽,Gurgel,windpipe
629,園,Park,park
630,回,x-mal,-times
631,壇,Podium,podium
632,店,Laden,store
633,庫,Lager,warehouse
634,庭,Garten,courtyard
635,庁,Ministerium,government office
636,床,Bett,bed
637,麻,Hanf,hemp
638,磨,polieren,grind
639,心,Herz,heart
640,忘,vergessen,forget
641,恣,selbstsüchtig,selfish
642,忍,erdulden,endure
643,認,anerkennen,acknowledge
644,忌,Trauer,mourning
645,志,Absicht,intention
646,誌,Zeitschrift,document
647,芯,Docht,wick
648,忠,Treue,loyalty
649,串,Fleischspieß,shish kebab
650,患,befallen,afflicted
651,思,denken,think
652,恩,Gunst,grace
653,応,erwidern,apply
654,意,Wille,idea
655,臆,zagen,cowardice
656,想,Idee,concept
657,息,Atem,breath
658,憩,Rast,recess
659,恵,Gnade,favor
660,恐,Furcht,fear
661,惑,unsicher,beguile
662,感,Gefühl,emotion
663,憂,Trübsinn,melancholy
664,寡,verwitwet,widow
665,忙,beschäftigt,busy
666,悦,Entzücken,ecstasy
667,恒,beständig,constancy
668,悼,beklagen,lament
669,悟,Erleuchtung,enlightenment
670,怖,schrecklich,dreadful
671,慌,überstürzt,disconcerted
672,悔,bereuen,repent
673,憎,hassen,hate
674,慣,Gewohnheit,accustomed
675,愉,Vergnügen,pleasure
676,惰,faul,lazy
677,慎,Bescheidenheit,humility
678,憾,Bedauern,remorse
679,憶,Gedächtnis,recollection
680,惧,bange,disquieting
681,憧,Drang,yearn
682,憬,schmachten,hanker
683,慕,Sehnsucht,pining
684,添,beifügen,annexed
685,必,zwangsläufig,invariably
686,泌,absondern,ooze
687,手,Hand,hand
688,看,beobachten,watch over
689,摩,reiben,chafe
690,我,Ego,ego
691,義,Gerechtigkeit,righteousness
692,議,Besprechung,deliberation
693,犠,Opfer,sacrifice
694,抹,streichen,rub
695,拭,wegwischen,wipe
696,拉,zerdrücken,yank
697,抱,hegen,embrace
698,搭,einsteigen,board
699,抄,Auszug,extract
700,抗,sich widersetzen,confront
701,批,Kritik,criticism
702,招,herbeiwinken,beckon
703,拓,urbar machen,clear the land
704,拍,klatschen,clap
705,打,schlagen,strike
706,拘,verhaften,arrest
707,捨,wegwerfen,discard
708,拐,entführen,kidnap
709,摘,Prise,pinch
710,挑,herausfordern,challenge
711,指,Finger,finger
712,持,halten,hold
713,拶,bevorstehen,imminent
714,括,zusammenbinden,fasten
715,揮,schwingen,brandish
716,推,vermuten,conjecture
717,揚,hissen,hoist
718,提,vorlegen,propose
719,損,Schaden,damage
720,拾,auflesen,pick up
721,担,schultern,shouldering
722,拠,Basis,foothold
723,描,zeichnen,sketch
724,操,steuern,maneuver
725,接,berühren,touch
726,掲,Aushang,put up a notice
727,掛,hängen,hang
728,捗,vorankommen,make headway
729,研,schleifen,polish
730,戒,Gebot,commandment
731,弄,herumspielen mit,tinker with
732,械,Apparat,contraption
733,鼻,Nase,nose
734,刑,Strafe,punish
735,型,Gussform,mould
736,才,Genie,genius
737,財,Vermögen,property
738,材,Baumaterial,lumber
739,存,existieren,suppose
740,在,sein,exist
741,乃,des,from
742,携,tragbar,portable
743,及,sich erstrecken,reach out
744,吸,saugen,suck
745,扱,behandeln,handle
746,丈,Länge,length
747,史,Historie,history
748,吏,Beamter,officer
749,更,spät werden,grow late
750,硬,starr,stiff
751,梗,zupropfen,spiny
752,又,einmal mehr,or again
753,双,Paar,pair
754,桑,Maulbeerbaum,mulberry
755,隻,Seefahrzeuge,vessels
756,護,schützen,safeguard
757,獲,erbeuten,seize
758,奴,Kerl,guy
759,怒,wütend,angry
760,友,Freund,friend
761,抜,herausziehen,slip out
762,投,werfen,throw
763,没,untergehen,drown
764,股,Schenkel,thigh
765,設,einrichten,establishment
766,撃,Abschuss,beat
767,殻,Hülse,husk
768,支,Zweig,branch
769,技,Technik,skill
770,枝,Ast,bough
771,肢,Gliedmaßen,limb
772,茎,Stängel,stalk
773,怪,verdächtig,suspicion
774,軽,leicht,lightly
775,叔,Onkel,uncle
776,督,Aufseher,coach
777,寂,Einsamkeit,loneliness
778,淑,anmutig,graceful
779,反,anti-,anti-
780,坂,Abhang,slope
781,板,Brett,plank
782,返,zurück,return
783,販,veräußern,marketing
784,爪,Kralle,claw
785,妥,Kompromiss,gentle
786,乳,Milch,milk
787,浮,dahintreiben,floating
788,淫,lüstern,lewd
789,将,Kommandeur,leader
790,奨,fördern,exhort
791,采,sich schnappen,grab
792,採,pflücken,pick
793,菜,Gemüse,vegetable
794,受,annehmen,accept
795,授,Verleihung,impart
796,愛,Liebe,love
797,曖,schummrig,unclear
798,払,bezahlen,pay
799,広,breit,wide
800,勾,gekrümmt,hooked
801,拡,erweitern,broaden
802,鉱,Mineral,mineral
803,弁,Klappe,valve
804,雄,männlich,male
805,台,Sockel,pedestal
806,怠,vernachlässigen,neglect
807,治,regieren,reign
808,冶,Metallurgie,metallurgy
809,始,beginnen,commence
810,胎,Mutterleib,womb
811,窓,Fenster,window
812,去,fort,gone
813,法,Gesetz,method
814,会,Zusammenkunft,meeting
815,至,erreichen,climax
816,室,Zimmer,room
817,到,ankommen,arrival
818,致,herbeiführen,doth
819,互,gegenseitig,mutually
820,棄,verwerfen,abandon
821,育,aufziehen,bring up
822,撤,zurückziehen,remove
823,充,füllen,allot
824,銃,Gewehr,gun
825,硫,Schwefel,sulfur
826,流,Strömung,current
827,允,gestatten,license
828,唆,verführen,tempt
829,出,hinaus-,exit
830,山,Berg,mountain
831,拙,ungeschickt,bungling
832,岩,Felsen,boulder
833,炭,Holzkohle,charcoal
834,岐,Abzweigung,branch off
835,峠,Gebirgspass,mountain pass
836,崩,zerfallen,crumble
837,密,heimlich,secrecy
838,蜜,Honig,honey
839,嵐,Sturm,storm
840,崎,Vorgebirge,promontory
841,崖,Steilhang,bluffs
842,入,hinein-,enter
843,込,gedrängt,crowded
844,分,Teil,part
845,貧,arm<br />,poverty
846,頒,verteilen,partition
847,公,öffentlich,public
848,松,Kiefer,pine tree
849,翁,Greis,venerable old man
850,訟,verklagen,sue
851,谷,Tal,valley
852,浴,baden,bathe
853,容,Inhalt,contain
854,溶,schmelzen,melt
855,欲,begehren,longing
856,裕,Überfluss,abundant
857,鉛,Blei,lead (metal)
858,沿,entlang verlaufen,run alongside
859,賞,Auszeichnung,prize
860,党,Partei,partly
861,堂,Halle,hall
862,常,üblich,usual
863,裳,Rock,skirt
864,掌,Handfläche,manipulate
865,皮,Pelz,pelt
866,波,Welle,waves
867,婆,Greisin,old woman
868,披,eröffnen,expose
869,破,zerreißen,rend
870,被,sich etwas zuziehen,incur
871,残,Rest,remainder
872,殉,Martyrium,martyrdom
873,殊,insbesondere,particularly
874,殖,vermehren,augment
875,列,Zug,file
876,裂,spalten,split
877,烈,entbrannt,ardent
878,死,Tod,death
879,葬,Beerdigung,interment
880,瞬,blinzeln,wink
881,耳,Ohr,ear
882,取,nehmen,take
883,趣,Sinngehalt,gist
884,最,äußerst,utmost
885,撮,knipsen,snapshot
886,恥,Scham,shame
887,職,Posten,post
888,聖,heilig,holy
889,敢,kühn,daring
890,聴,horchen,listen
891,懐,Nostalgie,pocket
892,慢,spöttisch,ridicule
893,漫,unbekümmert,loose
894,買,kaufen,buy
895,置,platzieren,placement
896,罰,ahnden,penalty
897,寧,eher,rather
898,濁,trübe,voiced
899,環,Ring,ring
900,還,zurückversetzen,send back
901,夫,Ehemann,husband
902,扶,Unterhalt,aid
903,渓,Gebirgsbach,mountain stream
904,規,Norm,standard
905,替,umtauschen,exchange
906,賛,preisen,approve
907,潜,untertauchen,submerge
908,失,verlieren,lose
909,鉄,Eisen,iron
910,迭,abwechseln,alternate
911,臣,Gefolgsmann,retainer
912,姫,Prinzessin,princess
913,蔵,Depot,storehouse
914,臓,Eingeweide,entrails
915,賢,intelligent,intelligent
916,腎,Niere,kidney
917,堅,solide,strict
918,臨,entgegensehen,look to
919,覧,besichtigen,perusal
920,巨,riesig,gigantic
921,拒,abweisen,repel
922,力,Kraft,power
923,男,Mann,man
924,労,Mühe,labor
925,募,anwerben,recruit
926,劣,minderwertig,inferiority
927,功,verdienstvoll,achievement
928,勧,aufmuntern,persuade
929,努,sich anstrengen,toil
930,勃,sich aufrichten,uprising
931,励,anspornen,encourage
932,加,hinzufügen,add
933,賀,Gratulation,congratulations
934,架,installieren,erect
935,脇,Flanke,armpit
936,脅,bedrohen,threaten
937,協,ko-,co-
938,行,gehen,going
939,律,Rhythmus,rhythm
940,復,wiederherstellen,restore
941,得,Nutzen,gain
942,従,folgen,accompany
943,徒,vergeblich,junior
944,待,warten,wait
945,往,Fahrt,journey
946,征,unterwerfen,subjugate
947,径,Durchmesser,diameter
948,彼,Er,he
949,役,Dienst,duty
950,徳,Tugend,benevolence
951,徹,durchdringen,penetrate
952,徴,Anzeichen,indication
953,懲,Sanktion,penal
954,微,winzig,delicate
955,街,Boulevard,boulevard
956,桁,Tragbalken,girder
957,衡,Gleichgewicht,equilibrium
958,稿,Manuskript,draft
959,稼,Einkünfte,earnings
960,程,Ausmaß,extent
961,税,Steuern,tax
962,稚,kindlich,immature
963,和,Harmonie,harmony
964,移,verlagern,shift
965,秒,Sekunde,second
966,秋,Herbst,autumn
967,愁,Kummer,distress
968,私,privat,private
969,秩,Ordnung,regularity
970,秘,Geheimnis,secret
971,称,Bezeichnung,appellation
972,利,Vorteil,profit
973,梨,Birnbaum,pear tree
974,穫,Ernte,harvest
975,穂,Ähre,ear of a plant
976,稲,Reispflanze,rice plant
977,香,Weihrauch,incense
978,季,Jahreszeit,seasons
979,委,Komitee,committee
980,秀,übertreffen,excel
981,透,durchsichtig,transparent
982,誘,verleiten,entice
983,稽,Übung,training
984,穀,Getreide,cereals
985,菌,Bakterien,germ
986,萎,schlaff,numb
987,米,Reis,rice
988,粉,Mehl,flour
989,粘,klebrig,sticky
990,粒,Korn,grains
991,粧,schminken,cosmetics
992,迷,verirren,astray
993,粋,chic,chic
994,謎,Rätsel,riddle
995,糧,Proviant,provisions
996,菊,Chrysantheme,chrysanthemum
997,奥,Tiefe,core
998,数,Zahl,number
999,楼,Wachturm,watchtower
1000,類,Sorte,sort
1001,漆,Lack,lacquer
1002,膝,Knie,knee
1003,様,Gnädigste,Esq.
1004,求,fordern,request
1005,球,Ball,ball
1006,救,retten,salvation
1007,竹,Bambus,bamboo
1008,笑,lachen,laugh
1009,笠,Bambushut,bamboo hat
1010,笹,Bambusgras,bamboo grass
1011,箋,Briefpapier,stationery
1012,筋,Muskel,muscle
1013,箱,Schachtel,box
1014,筆,Schreibpinsel,writing brush
1015,筒,Röhre,cylinder
1016,等,u.s.w.,etc.
1017,算,rechnen,calculate
1018,答,Antwort,solution
1019,策,Strategie,scheme
1020,簿,Verzeichnis,register
1021,築,bauen,fabricate
1022,籠,Käfig,basket
1023,人,Mensch,person
1024,佐,Assistent,assistant
1025,侶,Partner,partner
1026,但,jedoch,however
1027,住,wohnen,dwell
1028,位,Rang,rank
1029,仲,Verhältnis,go-between
